id,C,n_estimators,learning_rate_hist,learning_rate_cat,max_leaf_nodes,keep_percentage,latitude_oof,longitude_oof,oof
120.0,18.77,1699.0,0.74,0.08,38.0,0.59,0.447,0.531,0.489
121.0,2.88,1647.0,0.17,0.21,13.0,0.9,0.4438,0.528,0.4859
122.0,13.34,1651.0,0.88,0.37,27.0,0.76,0.4511,0.5339,0.4925
123.0,8.84,1055.0,0.31,0.47,48.0,0.69,0.4478,0.5334,0.4906
124.0,4.72,1286.0,0.55,0.39,58.0,0.95,0.4479,0.5328,0.4904
125.0,2.43,1608.0,0.34,0.63,12.0,0.97,0.4479,0.5337,0.4908
126.0,12.44,692.0,0.79,0.89,13.0,0.77,0.4516,0.5364,0.494
127.0,5.04,1765.0,0.57,0.04,49.0,0.87,0.4451,0.5281,0.4866
128.0,19.19,1990.0,0.02,0.06,6.0,0.96,0.4441,0.5307,0.4874
129.0,19.3,108.0,0.11,0.12,59.0,0.54,0.4427,0.5256,0.4842
130.0,9.61,464.0,0.03,0.05,4.0,0.63,0.4435,0.5269,0.4852
131.0,3.36,104.0,0.08,0.16,5.0,0.63,0.4426,0.5256,0.4841
132.0,0.41,1194.0,0.01,0.05,4.0,0.85,0.4531,0.5569,0.505
133.0,18.4,1999.0,0.52,0.14,63.0,0.64,0.4478,0.5318,0.4898
134.0,19.61,205.0,0.3,0.07,63.0,0.87,0.4435,0.5266,0.485
135.0,0.31,1999.0,0.13,0.18,25.0,0.59,0.4447,0.5297,0.4872
136.0,19.37,1475.0,0.04,0.06,8.0,0.83,0.44299999999999995,0.5259,0.4845
137.0,19.63,1249.0,0.08,0.03,33.0,0.87,0.4423,0.5251,0.4837
138.0,18.37,881.0,0.3,0.05,5.0,0.96,0.4416,0.5248,0.4832
139.0,2.1,100.0,0.19,0.02,63.0,0.86,0.4447,0.5341,0.4894
140.0,19.06,1014.0,0.03,0.01,6.0,0.91,0.4429,0.5263,0.4846
141.0,19.93,1593.0,0.02,0.03,9.0,0.96,0.4433,0.5297,0.4865
142.0,19.85,102.0,0.76,0.02,6.0,0.55,0.4443,0.5338,0.489
143.0,1.19,1396.0,0.12,0.08,4.0,0.85,0.4428,0.5261,0.4845
144.0,2.3,1697.0,0.04,0.05,4.0,0.93,0.4433,0.5262,0.4847
145.0,0.28,926.0,0.13,0.04,5.0,0.52,0.4423,0.5258,0.484
146.0,0.82,913.0,0.01,0.02,62.0,0.89,0.4526,0.5516,0.5021
147.0,19.35,285.0,0.1,0.08,63.0,0.54,0.4429,0.526,0.4845
148.0,19.78,151.0,0.08,0.11,63.0,0.52,0.4428,0.5256,0.4842
149.0,19.77,1267.0,0.04,0.09,9.0,0.57,0.4435,0.5269,0.4852
150.0,3.35,301.0,0.03,0.01,8.0,0.74,0.4445,0.5292,0.4869
151.0,2.15,1869.0,0.08,0.04,7.0,0.91,0.442,0.5251,0.4836
152.0,0.18,1510.0,0.13,0.09,4.0,0.58,0.4434,0.5274,0.4854
153.0,19.27,397.0,0.06,0.03,11.0,0.59,0.4417,0.525,0.4834
154.0,19.1,1118.0,0.09,0.01,4.0,0.83,0.4422,0.5254,0.4838
155.0,0.35,524.0,0.03,0.06,4.0,0.88,0.4433,0.5267,0.485
156.0,17.7,648.0,0.03,0.01,4.0,0.77,0.4439,0.5273,0.4856
157.0,1.16,141.0,0.01,0.02,24.0,0.62,0.4588,0.5619,0.5104
158.0,6.88,1347.0,0.02,0.05,63.0,0.71,0.4438,0.5306,0.4872
159.0,1.52,314.0,0.36,0.06,62.0,0.99,0.4431,0.526,0.4846
160.0,19.95,1563.0,0.15,0.2,63.0,0.78,0.4458,0.529,0.4874
161.0,13.71,125.0,0.48,0.63,63.0,1.0,0.4468,0.5297,0.4882
162.0,17.58,1723.0,0.46,0.05,63.0,0.55,0.4461,0.5286,0.4873
163.0,16.08,669.0,0.4,0.01,62.0,1.0,0.444,0.5267,0.4853
164.0,3.05,177.0,0.2,0.36,63.0,0.85,0.4441,0.527,0.4856
165.0,19.95,1929.0,0.13,0.05,63.0,0.67,0.444,0.5274,0.4857
166.0,0.63,1996.0,0.01,0.07,4.0,0.9,0.4531,0.5577,0.5054
167.0,19.63,1926.0,0.26,0.01,23.0,0.89,0.4423,0.5249,0.4836
168.0,19.95,1999.0,0.95,0.14,39.0,0.9,0.4493,0.5338,0.4915
169.0,1.09,1999.0,0.85,0.11,61.0,0.7,0.4495,0.5324,0.491
170.0,0.19,1240.0,0.41,0.06,63.0,0.9,0.4443,0.5278,0.4861
171.0,19.94,756.0,0.48,0.05,4.0,0.66,0.4428,0.5259,0.4844
172.0,19.99,1848.0,0.1,0.04,61.0,0.54,0.4436,0.5267,0.4851
173.0,0.51,1765.0,0.01,0.02,5.0,0.91,0.453,0.5531,0.5031
174.0,19.07,1517.0,0.24,0.05,4.0,0.69,0.4428,0.5263,0.4846
175.0,1.6,1578.0,0.99,0.03,61.0,0.98,0.4482,0.5321,0.4901
176.0,0.64,586.0,0.28,0.05,63.0,0.96,0.4429,0.5255,0.4842
177.0,19.85,516.0,0.07,0.13,6.0,0.83,0.4429,0.5254,0.4841
178.0,19.69,1308.0,0.52,0.01,63.0,0.83,0.4448,0.5274,0.4861
179.0,19.7,623.0,0.11,0.18,63.0,0.96,0.4433,0.5268,0.4851
180.0,17.79,1426.0,0.08,0.1,5.0,0.76,0.4429,0.5266,0.4847
181.0,14.02,100.0,0.5,0.98,41.0,0.99,0.4473,0.5304,0.4888
182.0,19.77,1956.0,0.26,0.24,6.0,0.91,0.4449,0.5287,0.4868
183.0,18.74,1694.0,0.9,0.06,5.0,0.98,0.4424,0.5257,0.484
184.0,3.54,1896.0,0.02,0.12,4.0,0.76,0.4452,0.5337,0.4895
185.0,0.12,1828.0,0.05,0.06,6.0,0.57,0.4436,0.5266,0.4851
186.0,19.22,213.0,0.13,0.07,4.0,0.73,0.4421,0.5255,0.4838
187.0,19.47,317.0,0.78,0.03,63.0,0.82,0.4467,0.5291,0.4879
188.0,9.45,514.0,0.14,0.02,63.0,0.97,0.4421,0.525,0.4836
189.0,0.55,715.0,0.26,0.06,63.0,0.93,0.4434,0.526,0.4847
190.0,2.16,1444.0,0.17,0.05,4.0,0.95,0.4419,0.5253,0.4836
191.0,19.37,170.0,0.82,0.08,4.0,0.59,0.4424,0.5256,0.484
192.0,19.42,431.0,0.1,0.35,4.0,0.93,0.4446,0.5277,0.4861
193.0,19.24,1229.0,0.09,0.04,6.0,0.84,0.4422,0.5251,0.4837
194.0,0.46,259.0,0.51,0.19,4.0,0.91,0.4426,0.5259,0.4842
195.0,0.63,809.0,0.24,0.04,63.0,0.6,0.4437,0.5264,0.485
196.0,17.42,713.0,0.12,0.02,37.0,0.7,0.4423,0.5253,0.4838
197.0,1.87,608.0,0.07,0.05,5.0,0.98,0.4414,0.5247,0.4831
198.0,17.91,920.0,0.11,0.02,4.0,0.9,0.4419,0.5252,0.4836
199.0,19.77,875.0,0.02,0.04,51.0,0.99,0.443,0.5294,0.4862
200.0,19.99,1378.0,0.04,0.04,61.0,0.52,0.4428,0.5263,0.4846
201.0,18.78,369.0,0.12,0.04,4.0,0.84,0.4421,0.5253,0.4837
202.0,19.68,972.0,0.04,0.02,61.0,0.62,0.4421,0.5256,0.4839
203.0,1.62,1685.0,0.12,0.04,63.0,0.99,0.4422,0.5254,0.4838
204.0,0.21,1085.0,0.04,0.07,54.0,0.51,0.4428,0.5268,0.4848
205.0,19.9,1155.0,0.2,0.05,20.0,0.91,0.4427,0.525,0.4838
206.0,19.0,952.0,0.65,0.01,36.0,0.53,0.4452,0.5273,0.4863
207.0,18.11,1021.0,0.03,0.08,63.0,0.94,0.4424,0.5263,0.4843
208.0,19.85,1402.0,0.05,0.06,35.0,0.98,0.442,0.5252,0.4836
209.0,9.4,263.0,0.22,0.08,63.0,0.96,0.4423,0.5258,0.484
210.0,0.39,791.0,0.06,0.03,4.0,0.51,0.4426,0.526,0.4843
211.0,14.93,547.0,0.02,0.04,4.0,0.67,0.4442,0.5315,0.4878
212.0,16.92,492.0,0.02,0.03,25.0,0.78,0.4433,0.5296,0.4864
213.0,17.05,1212.0,0.17,0.02,40.0,0.94,0.4421,0.5246,0.4833
214.0,1.36,1015.0,0.02,0.02,5.0,0.88,0.4439,0.5303,0.4871
215.0,19.11,1885.0,0.06,0.01,62.0,0.89,0.442,0.5249,0.4834
216.0,0.43,441.0,0.24,0.07,63.0,0.51,0.4436,0.5267,0.4851
217.0,2.32,898.0,0.17,0.05,7.0,0.52,0.4423,0.5253,0.4838
218.0,0.56,1066.0,0.07,0.02,5.0,0.86,0.442,0.5252,0.4836
219.0,18.65,863.0,0.08,0.01,23.0,0.5,0.4422,0.5252,0.4837
220.0,0.33,534.0,0.22,0.06,63.0,0.58,0.4435,0.5263,0.4849
221.0,2.79,220.0,0.07,0.3,4.0,0.97,0.4422,0.5255,0.4838
222.0,0.75,717.0,0.02,0.02,33.0,0.74,0.4432,0.5299,0.4866
223.0,19.45,1459.0,0.1,0.03,32.0,0.92,0.4423,0.525,0.4837
224.0,9.54,1347.0,0.1,0.03,4.0,1.0,0.4416,0.525,0.4833
225.0,19.23,972.0,0.4,0.01,5.0,0.6,0.4422,0.5255,0.4838
226.0,14.2,1588.0,0.03,0.06,39.0,0.95,0.4424,0.526,0.4842
227.0,1.49,1726.0,0.19,0.02,63.0,0.81,0.4432,0.5255,0.4844
228.0,18.35,702.0,0.07,0.02,61.0,0.86,0.4422,0.5252,0.4837
229.0,17.81,1333.0,0.11,0.03,37.0,0.86,0.4426,0.5252,0.4839
230.0,16.71,164.0,0.98,0.06,62.0,0.97,0.4485,0.5306,0.4896
231.0,8.73,214.0,0.04,0.12,63.0,0.7,0.4421,0.5253,0.4837
232.0,17.5,256.0,0.07,0.04,4.0,0.57,0.4423,0.5256,0.4839
233.0,0.9,1865.0,0.06,0.02,59.0,0.54,0.4425,0.5256,0.484
234.0,2.13,1225.0,0.12,0.02,38.0,0.86,0.4422,0.5246,0.4834
235.0,18.19,595.0,0.03,0.03,5.0,0.8,0.4429,0.5264,0.4847
236.0,17.11,1667.0,0.05,0.05,4.0,0.93,0.44299999999999995,0.5259,0.4845
237.0,0.98,1682.0,1.0,0.04,7.0,0.99,0.4418,0.5253,0.4836
238.0,19.95,154.0,0.02,0.29,5.0,0.98,0.4441,0.5311,0.4876
239.0,8.55,195.0,0.96,0.2,4.0,0.61,0.4434,0.5255,0.4844
240.0,16.75,1058.0,0.06,0.02,9.0,0.9,0.4416,0.5247,0.4832
241.0,0.15,1050.0,0.02,0.01,63.0,0.74,0.4437,0.5307,0.4872
242.0,19.97,726.0,0.13,0.03,14.0,0.7,0.4419,0.5252,0.4835
243.0,1.3,577.0,0.14,0.04,24.0,0.52,0.4422,0.5253,0.4837
244.0,0.19,1572.0,0.18,0.09,4.0,0.98,0.4423,0.5264,0.4844
245.0,0.34,1866.0,0.07,0.01,40.0,0.93,0.4418,0.5249,0.4833
246.0,1.09,289.0,0.09,0.01,63.0,0.81,0.4433,0.5274,0.4854
247.0,0.68,354.0,0.2,0.03,54.0,0.62,0.4428,0.526,0.4844
248.0,0.22,791.0,0.08,0.03,44.0,0.82,0.4422,0.5251,0.4836
249.0,19.31,240.0,0.05,0.07,63.0,0.51,0.4423,0.5256,0.4839
250.0,19.4,1317.0,0.08,0.02,5.0,0.92,0.4419,0.5249,0.4834
251.0,0.15,436.0,0.02,0.05,5.0,0.6,0.4444,0.5311,0.4878
252.0,13.2,846.0,0.01,0.04,4.0,0.83,0.4531,0.5566,0.5049
253.0,0.82,850.0,0.04,0.01,31.0,1.0,0.4415,0.5251,0.4833
254.0,19.76,888.0,0.73,0.06,21.0,0.75,0.4453,0.5266,0.486
255.0,19.08,1525.0,0.14,0.04,62.0,0.64,0.4437,0.5265,0.4851
256.0,0.41,688.0,0.93,0.04,63.0,0.66,0.4482,0.5313,0.4898
257.0,19.32,802.0,0.15,0.1,63.0,0.88,0.4435,0.5268,0.4852
258.0,1.47,742.0,0.18,0.17,4.0,0.73,0.4433,0.527,0.4852
259.0,0.35,1931.0,0.04,0.04,23.0,0.94,0.4417,0.5253,0.4835
260.0,0.59,576.0,0.06,0.01,4.0,0.9,0.4431,0.5262,0.4847
261.0,18.29,1597.0,0.11,0.05,63.0,0.87,0.4433,0.5257,0.4845
262.0,0.8,1316.0,0.26,0.03,63.0,0.98,0.44299999999999995,0.5259,0.4845
263.0,0.38,361.0,0.41,0.01,4.0,0.76,0.4433,0.5273,0.4853
264.0,8.87,325.0,0.04,0.02,46.0,0.51,0.4427,0.5255,0.4841
265.0,20.0,128.0,0.29,0.1,42.0,0.54,0.4434,0.5263,0.4848
266.0,0.47,1294.0,0.03,0.03,4.0,0.9,0.4432,0.5268,0.485
267.0,14.05,596.0,0.1,0.03,54.0,0.69,0.4424,0.5256,0.484
268.0,1.61,874.0,0.06,0.02,12.0,0.55,0.4418,0.525,0.4834
269.0,19.86,1498.0,0.05,0.02,38.0,0.86,0.442,0.5248,0.4834
270.0,0.17,665.0,0.17,0.06,6.0,0.96,0.4416,0.5251,0.4834
271.0,1.14,336.0,0.02,0.05,63.0,0.64,0.4437,0.5299,0.4868
272.0,19.98,1556.0,0.06,0.09,4.0,0.97,0.4427,0.5263,0.4845
273.0,14.97,117.0,0.3,0.42,4.0,0.6,0.4437,0.5267,0.4852
274.0,19.26,1756.0,0.05,0.11,59.0,0.98,0.4426,0.5266,0.4846
275.0,19.54,428.0,0.02,0.03,63.0,0.62,0.4435,0.53,0.4868
276.0,17.08,494.0,0.52,0.03,4.0,0.92,0.442,0.5256,0.4838
277.0,0.85,1217.0,0.08,0.05,63.0,1.0,0.4422,0.5252,0.4837
278.0,1.46,1663.0,0.33,0.06,4.0,0.89,0.4431,0.526,0.4845
279.0,4.44,1611.0,0.06,0.03,51.0,0.99,0.4417,0.5246,0.4832
280.0,1.79,783.0,0.81,0.01,15.0,0.83,0.4441,0.5258,0.485
281.0,7.0,238.0,0.69,0.07,4.0,0.55,0.4423,0.5251,0.4837
282.0,0.34,776.0,0.23,0.02,61.0,0.55,0.4431,0.5263,0.4847
283.0,19.82,1221.0,0.1,0.04,21.0,0.98,0.4417,0.5249,0.4833
284.0,6.14,1681.0,0.14,0.02,16.0,1.0,0.4413,0.5246,0.483
285.0,2.8,362.0,0.02,0.03,28.0,0.7,0.4434,0.53,0.4867
286.0,19.88,1977.0,0.05,0.09,18.0,0.78,0.4431,0.5267,0.4849
287.0,9.88,1235.0,0.03,0.02,28.0,0.85,0.4421,0.5256,0.4838
288.0,19.16,1120.0,0.04,0.03,23.0,0.81,0.442,0.525,0.4835
289.0,2.69,389.0,0.07,0.02,63.0,0.58,0.4425,0.5256,0.484
290.0,19.82,1245.0,0.1,0.03,6.0,0.83,0.4421,0.525,0.4836
291.0,18.97,1141.0,0.03,0.06,6.0,0.57,0.4437,0.5268,0.4853
292.0,13.68,1423.0,0.06,0.01,23.0,0.96,0.4411,0.5245,0.4828
293.0,19.47,971.0,0.01,0.02,22.0,0.64,0.453,0.5521,0.5025
294.0,19.14,935.0,0.87,0.03,59.0,0.66,0.4484,0.5313,0.4899
295.0,6.66,963.0,0.69,0.1,4.0,0.55,0.4434,0.5261,0.4847
296.0,3.3,982.0,0.91,0.06,4.0,0.89,0.4425,0.5254,0.484
297.0,19.08,313.0,0.32,0.03,4.0,0.87,0.4428,0.5256,0.4842
298.0,16.49,301.0,0.1,0.05,41.0,0.56,0.4424,0.5253,0.4839
299.0,0.14,1360.0,0.05,0.02,8.0,0.93,0.4422,0.5253,0.4838
300.0,18.63,1545.0,0.06,0.02,36.0,0.97,0.4415,0.5246,0.483
301.0,17.15,212.0,0.05,0.03,45.0,0.78,0.4424,0.5253,0.4838
302.0,0.33,942.0,0.51,0.03,37.0,1.0,0.4436,0.5266,0.4851
303.0,17.06,1252.0,0.07,0.02,62.0,0.96,0.4417,0.5249,0.4833
304.0,19.54,506.0,0.18,0.04,63.0,0.89,0.44299999999999995,0.5255,0.4842
305.0,1.6,1107.0,0.14,0.02,47.0,0.83,0.4424,0.525,0.4837
306.0,1.08,1321.0,0.08,0.09,37.0,0.99,0.4423,0.5255,0.4839
307.0,0.22,1752.0,0.32,0.01,63.0,0.95,0.4429,0.5261,0.4845
308.0,19.74,852.0,0.57,0.02,51.0,0.57,0.4443,0.5276,0.486
309.0,0.6,503.0,0.47,0.01,5.0,0.57,0.443,0.5259,0.4844
310.0,0.34,1853.0,0.96,0.07,9.0,0.87,0.4439,0.5265,0.4852
311.0,18.86,1925.0,0.02,0.06,4.0,0.82,0.4449,0.5323,0.4886
312.0,2.48,598.0,0.22,0.02,34.0,0.88,0.4421,0.5251,0.4836
313.0,19.44,1939.0,0.06,0.03,30.0,0.98,0.4417,0.5248,0.4833
314.0,0.6,1473.0,0.07,0.06,4.0,0.96,0.4421,0.5255,0.4838
315.0,9.45,145.0,0.24,0.05,63.0,0.58,0.4437,0.5262,0.485
316.0,19.52,1859.0,0.11,0.02,63.0,0.98,0.4424,0.5252,0.4838
317.0,0.42,1676.0,0.12,0.08,45.0,0.96,0.4426,0.5261,0.4844
